Participant ID,Block,Image,Initial Response,Final Response,Clarity
joh,1,swimmer.jpg,y,y,y
joh,1,clothespin_03s.jpg,y,y,3
joh,1,human5.jpg,y,y,4
joh,1,kitten_03s.jpg,y,y,5
joh,1,iguana_08s.jpg,y,y,3
joh,1,beer_16s.jpg,y,y,3
joh,1,iguana_07s.jpg,y,y,3
joh,1,croissant_10s.jpg,y,y,3
joh,1,clothespin_01b.jpg,y,y,3
joh,1,wolf_03s.jpg,y,y,3
joh,1,hands4.jpg,y,y,3
joh,1,wolf_09s.jpg,y,y,3
joh,2,paintbrush_10s.jpg,y,y,y
joh,2,croissant_05s.jpg,y,y,y
joh,2,cat_09s.jpg,y,y,y
joh,2,tarantula_05s.jpg,y,y,y
joh,2,cookie_cutter_01b.jpg,y,y,y
joh,2,human2.jpg,y,y,y
joh,2,wolf_08n.jpg,y,y,y
joh,2,rearview_mirror_05s.jpg,y,y,y
joh,2,tarantula_15s.jpg,y,y,y
joh,2,wolf_04s.jpg,y,y,y
joh,2,beer_02s.jpg,y,y,y
joh,2,dog_02s.jpg,y,y,y
joh,3,hands2.jpg,y,y,y
joh,3,tarantula_09s.jpg,y,y,y
joh,3,plug_03s.jpg,y,y,y
joh,3,hands1.jpg,y,y,y
joh,3,thumbtack_02s.jpg,y,y,y
joh,3,hands3.jpg,y,y,y
joh,3,paperclip_03s.jpg,y,y,y
joh,3,wolf_12n.jpg,y,y,y
joh,3,cat_02s.jpg,y,y,y
joh,3,human1.jpg,y,y,y
joh,3,human3.jpg,y,y,y
joh,3,human4.jpg,y,y,y
